,fields.k,fields.q,fields.libelle,fields.iu_ac,fields.geo_point_2d,fields.geo_shape.coordinates,fields.geo_shape.type,fields.t_1h,fields.date_fin,fields.date_debut,fields.iu_nd_amont,fields.etat_trafic,fields.iu_nd_aval,fields.libelle_nd_amont,fields.etat_barre,fields.libelle_nd_aval,geometry.type,geometry.coordinates
0,11.8,4911.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-31T22:00:00+00:00,2019-06-01,2005-01-01,2849,Fluide,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
1,11.95,4947.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-31T21:00:00+00:00,2019-06-01,2005-01-01,2849,Fluide,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
2,14.6,5907.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-31T20:00:00+00:00,2019-06-01,2005-01-01,2849,Fluide,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
3,16.75,6491.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-31T19:00:00+00:00,2019-06-01,2005-01-01,2849,Pré-saturé,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
4,15.5,6147.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-31T18:00:00+00:00,2019-06-01,2005-01-01,2849,Pré-saturé,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
5,16.25,6279.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-31T17:00:00+00:00,2019-06-01,2005-01-01,2849,Pré-saturé,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
6,16.3,6500.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-31T16:00:00+00:00,2019-06-01,2005-01-01,2849,Pré-saturé,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
7,16.55,6591.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-31T15:00:00+00:00,2019-06-01,2005-01-01,2849,Pré-saturé,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
8,15.1,6229.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-31T14:00:00+00:00,2019-06-01,2005-01-01,2849,Pré-saturé,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
9,15.2,6229.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-31T13:00:00+00:00,2019-06-01,2005-01-01,2849,Pré-saturé,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
